日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,5307.19,5310.65,5319.92,5275.46,221319491,264431783936.0,0.84,0.32,16.79,0.62
2022-01-05,5303.53,5295.03,5330.0,5277.99,231652086,274319949824.0,0.98,-0.29,-15.62,0.64
2022-01-06,5279.21,5302.9,5315.03,5276.82,209007729,249759399936.0,0.72,0.15,7.87,0.58
2022-01-07,5308.21,5351.77,5380.63,5308.21,252502479,266914152448.0,1.37,0.92,48.87,0.7
2022-01-10,5353.46,5376.32,5383.87,5334.03,204799470,231688097792.0,0.93,0.46,24.55,0.57
2022-01-11,5374.75,5370.64,5427.08,5363.11,203633034,230499377152.0,1.19,-0.11,-5.68,0.57
2022-01-12,5379.2,5366.62,5381.82,5324.82,191364388,219346243584.0,1.06,-0.07,-4.02,0.53
2022-01-13,5368.25,5331.81,5402.61,5330.26,207264394,236044763136.0,1.35,-0.65,-34.81,0.58
2022-01-14,5317.5,5230.08,5317.5,5227.44,210270451,229556039680.0,1.69,-1.91,-101.73,0.58
2022-01-17,5228.93,5245.36,5256.02,5227.33,164474104,202657837056.0,0.55,0.29,15.28,0.46
2022-01-18,5247.3,5342.66,5355.68,5238.24,209319447,230613135360.0,2.24,1.85,97.3,0.58
2022-01-19,5338.26,5356.97,5378.54,5332.38,189331277,217368473600.0,0.86,0.27,14.31,0.53
2022-01-20,5356.28,5391.99,5417.55,5343.42,215225147,243194007552.0,1.38,0.65,35.02,0.6
2022-01-21,5380.51,5335.92,5385.1,5329.09,182113692,223914967040.0,1.04,-1.04,-56.07,0.51
2022-01-24,5321.11,5338.06,5362.09,5293.72,155559488,187190874112.0,1.28,0.04,2.14,0.43
2022-01-25,5311.2,5188.58,5316.03,5188.58,182929856,201800507392.0,2.39,-2.8,-149.48,0.51
2022-01-26,5203.47,5232.71,5239.5,5183.31,146516718,174155743232.0,1.08,0.85,44.13,0.41
2022-01-27,5224.59,5171.4,5238.32,5169.57,156409641,187240366080.0,1.31,-1.17,-61.31,0.43
2022-01-28,5190.73,5110.37,5201.0,5106.75,170808755,199419244544.0,1.82,-1.18,-61.03,0.47
2022-02-07,5178.8,5275.65,5279.62,5178.8,202284631,210017882112.0,1.97,3.23,165.28,0.56
2022-02-08,5281.51,5362.52,5362.89,5266.05,224846909,224785420288.0,1.84,1.65,86.87,0.63
2022-02-09,5358.95,5379.07,5397.42,5352.63,207085729,222812749824.0,0.84,0.31,16.55,0.58
2022-02-10,5374.65,5429.42,5429.42,5353.28,214388186,229602713600.0,1.42,0.94,50.35,0.6
2022-02-11,5414.51,5424.87,5481.31,5407.95,212153649,246753800192.0,1.35,-0.08,-4.55,0.59
2022-02-14,5406.3,5322.59,5408.06,5303.07,185107274,208734466048.0,1.94,-1.89,-102.28,0.51
2022-02-15,5314.73,5299.0,5323.67,5267.46,150921953,183496527872.0,1.06,-0.44,-23.59,0.42
2022-02-16,5316.44,5346.53,5370.28,5316.26,146978716,166191132672.0,1.02,0.9,47.53,0.41
2022-02-17,5345.19,5333.49,5354.81,5320.72,158134945,181420437504.0,0.64,-0.24,-13.04,0.44
2022-02-18,5311.37,5407.74,5407.87,5306.17,168496727,177793011712.0,1.91,1.39,74.25,0.47
2022-02-21,5397.86,5400.06,5403.67,5354.36,157535956,176763924480.0,0.91,-0.14,-7.68,0.44
2022-02-22,5367.82,5342.59,5374.89,5310.72,176410657,202610847744.0,1.19,-1.06,-57.47,0.49
2022-02-23,5344.0,5335.64,5350.8,5305.8,172931630,208285970432.0,0.84,-0.13,-6.95,0.48
2022-02-24,5313.39,5237.89,5325.21,5202.38,270713638,300313751552.0,2.3,-1.83,-97.75,0.75
2022-02-25,5256.85,5241.4,5294.0,5222.24,221735962,235040669696.0,1.37,0.07,3.51,0.62
2022-02-28,5235.14,5248.78,5249.35,5193.63,200296727,217676357632.0,1.06,0.14,7.38,0.56
2022-03-01,5259.18,5296.14,5301.1,5253.57,186415780,223816765440.0,0.91,0.9,47.36,0.52
2022-03-02,5278.42,5301.88,5309.74,5275.41,186531694,202267418624.0,0.65,0.11,5.74,0.52
2022-03-03,5319.08,5360.09,5368.11,5319.08,249935969,247864557568.0,0.92,1.1,58.21,0.69
2022-03-04,5335.7,5308.91,5338.52,5284.03,226532206,232391036928.0,1.02,-0.95,-51.18,0.63
2022-03-07,5298.58,5238.29,5311.67,5221.75,241250924,267036958720.0,1.69,-1.33,-70.62,0.67
2022-03-08,5226.54,5105.76,5232.52,5096.6,252944312,276338114560.0,2.59,-2.53,-132.53,0.7
2022-03-09,5117.62,5042.28,5146.0,4878.96,275398323,290685906944.0,5.23,-1.24,-63.48,0.77
2022-03-10,5111.78,5078.27,5127.94,5063.2,211489426,250516643840.0,1.28,0.71,35.99,0.59
2022-03-11,5027.95,5091.9,5103.84,4959.58,216689644,248302260224.0,2.84,0.27,13.63,0.6
2022-03-14,5028.1,4977.66,5102.06,4977.66,188099589,224970735616.0,2.44,-2.24,-114.24,0.52
2022-03-15,4938.02,4693.06,4938.02,4693.06,283109824,297270288384.0,4.92,-5.72,-284.6,0.79
2022-03-16,4754.82,4847.84,4866.54,4635.03,258491072,295715971072.0,4.93,3.3,154.78,0.72
2022-03-17,4915.94,4896.2,4961.55,4880.19,233193620,290025488384.0,1.68,1.0,48.36,0.65
2022-03-18,4882.3,5009.4,5020.66,4871.74,207224832,234222407680.0,3.04,2.31,113.2,0.58
2022-03-21,5011.65,4989.55,5017.96,4950.34,188711478,217662685184.0,1.35,-0.4,-19.85,0.52
2022-03-22,4979.7,5049.02,5071.12,4977.06,192470835,208762175488.0,1.89,1.19,59.47,0.54
2022-03-23,5049.18,5047.86,5067.66,5004.5,184648507,209766961152.0,1.25,-0.02,-1.16,0.51
2022-03-24,5023.04,5033.57,5057.11,5013.88,169177318,199025410048.0,0.86,-0.28,-14.29,0.47
2022-03-25,5026.14,4995.41,5059.01,4993.86,170480584,198074830848.0,1.29,-0.76,-38.16,0.47
2022-03-28,4965.43,5042.71,5056.79,4930.99,184933988,200734224384.0,2.52,0.95,47.3,0.51
2022-03-29,5037.92,5028.9,5053.1,5013.34,162812001,191117611008.0,0.79,-0.27,-13.81,0.45
2022-03-30,5040.3,5114.88,5117.3,5038.81,198845012,228150239232.0,1.56,1.71,85.98,0.55
2022-03-31,5102.52,5122.63,5162.52,5097.23,213570665,228260610048.0,1.28,0.15,7.75,0.59
2022-04-01,5092.91,5176.82,5176.88,5086.29,207849495,224793825280.0,1.77,1.06,54.19,0.58
2022-04-06,5167.05,5251.62,5258.65,5162.94,247711562,242717659136.0,1.85,1.44,74.8,0.69
2022-04-07,5224.02,5172.26,5258.66,5171.77,226209572,214378295296.0,1.65,-1.51,-79.36,0.63
2022-04-08,5184.97,5242.16,5246.58,5148.13,232447606,229319282688.0,1.9,1.35,69.9,0.65
2022-04-11,5229.32,5144.16,5229.32,5126.85,240152963,249536339968.0,1.95,-1.87,-98.0,0.67
2022-04-12,5132.8,5172.6,5196.2,5093.02,233515814,238673944576.0,2.01,0.55,28.44,0.65
