symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh600000,600000,浦发银行,9.540,-0.11,-1.14,9.540,9.550,9.650,9.610,9.700,9.500,48821231,469147894,15:00:03,8.916,0.436,28001977.437078,28001977.437078,0.16633
sh600009,600009,上海机场,36.290,0.28,0.778,36.280,36.290,36.010,35.980,36.970,35.900,14688923,535301482,15:00:01,95.5,2.215,9030698.78286,6962947.595292,0.76557
sh600010,600010,包钢股份,1.900,-0.06,-3.061,1.890,1.900,1.960,1.950,1.980,1.890,655656071,1267917966,15:00:00,168.142,1.679,8626939.02712,5984453.02553,2.08164
sh600011,600011,华能国际,7.120,-0.09,-1.248,7.110,7.120,7.210,7.200,7.290,7.110,58154096,419137424,15:00:00,20.343,1.923,11177042.471608,7830369.462328,0.52878
sh600015,600015,华夏银行,7.080,0.0,0.0,7.080,7.090,7.080,7.080,7.190,7.040,42791703,304546401,15:00:01,4.784,0.386,11267769.355344,10894154.579964,0.2781
sh600016,600016,民生银行,3.770,0.0,0.0,3.770,3.780,3.770,3.770,3.820,3.750,184890670,699665405,15:00:00,5.236,0.301,16505971.775254,13369220.451301,0.52138
sh600018,600018,上港集团,6.020,0.08,1.347,6.010,6.020,5.940,5.940,6.080,5.910,56570896,341042763,15:00:01,10.578,1.071,14015381.887724,13975175.807908,0.24369
sh600019,600019,宝钢股份,6.580,0.03,0.458,6.570,6.580,6.550,6.540,6.640,6.520,67918264,448243920,15:00:01,12.185,0.727,14466288.402972,14382510.691472,0.31073
sh600023,600023,浙能电力,5.750,-0.01,-0.174,5.750,5.760,5.760,5.750,5.840,5.720,40402492,233729434,15:00:00,11.735,1.07,7710021.330675,7710021.330675,0.30131
sh600025,600025,华能水电,9.600,-0.2,-2.041,9.600,9.610,9.800,9.770,9.820,9.600,41657302,404239389,15:00:00,24.0,2.98,17280000.0,17280000.0,0.23143
sh600026,600026,中远海能,12.910,0.02,0.155,12.910,12.920,12.890,12.890,13.090,12.800,30481780,394998254,15:00:00,18.382,1.712,6159072.325945,4485936.325945,0.87723
sh600027,600027,华电国际,5.580,-0.11,-1.933,5.580,5.590,5.690,5.660,5.730,5.550,71127858,400893736,15:00:01,15.943,1.368,5706979.112214,4748762.763414,0.83578
sh600028,600028,中国石化,6.320,0.05,0.797,6.310,6.320,6.270,6.260,6.380,6.240,204662984,1293378082,15:00:00,12.515,0.939,76914288.700376,60022285.701072,0.2155
sh600029,600029,南方航空,6.260,0.21,3.471,6.260,6.270,6.050,6.050,6.350,6.040,138507881,865236543,15:00:03,-27.217,2.933,11343689.587384,7933511.558648,1.09291
sh600030,600030,中信证券,31.130,-1.54,-4.714,31.120,31.130,32.670,32.670,33.000,31.110,302257008,9658174454,15:00:01,23.946,1.769,46136362.278677,37905603.182062,2.48229
sh600031,600031,三一重工,18.230,-0.27,-1.459,18.230,18.240,18.500,18.440,18.700,18.210,62697956,1153942595,15:00:01,34.094,2.179,15449884.961451,15430265.470851,0.74074
sh600036,600036,招商银行,37.820,-0.24,-0.631,37.820,37.850,38.060,38.080,38.570,37.810,69927688,2671344642,15:00:01,6.718,0.952,95381456.062982,78018667.830478,0.33898
sh600039,600039,四川路桥,7.490,-0.12,-1.577,7.490,7.500,7.610,7.620,7.700,7.480,35074358,266337589,15:00:01,7.202,1.436,6525485.589945,5018365.436385,0.52349
sh600048,600048,保利发展,10.110,-0.27,-2.601,10.110,10.120,10.380,10.310,10.410,10.110,124318433,1270504259,15:00:01,10.01,0.619,12102118.295598,12102118.295598,1.03854
sh600050,600050,中国联通,5.810,0.34,6.216,5.800,5.810,5.470,5.400,6.020,5.400,1682048511,9724362938,15:00:00,22.261,1.111,18476137.742272,17991043.993272,5.43198
sh600061,600061,国投资本,7.790,-0.27,-3.35,7.780,7.790,8.060,8.060,8.110,7.770,70477996,558855738,15:00:00,21.639,0.983,5005319.804645,5005319.804645,1.09688
sh600085,600085,同仁堂,41.010,-0.99,-2.357,41.010,41.020,42.000,41.980,42.300,41.000,11215455,464778131,15:00:00,33.698,4.334,5624399.544462,5624399.544462,0.81777
sh600089,600089,特变电工,13.930,-0.37,-2.587,13.930,13.940,14.300,14.180,14.340,13.920,56421517,797135417,15:00:01,5.831,1.091,7038540.009613,7038540.009613,1.11664
sh600104,600104,上汽集团,17.270,0.55,3.289,17.270,17.280,16.720,16.200,17.990,15.850,285097372,4773901138,15:00:00,14.086,0.683,19990542.141515,19990542.141515,2.46298
sh600111,600111,北方稀土,23.320,-0.81,-3.357,23.320,23.330,24.130,24.090,24.240,23.310,81232752,1927464066,15:00:01,35.56,3.856,8430333.543544,8430333.543544,2.24706
